date,Predicted Variable
2020-08-10,0.4309512674808502
2020-08-17,0.452932208776474
2020-08-24,0.4752544164657593
2020-08-31,0.4966789484024048
2020-09-07,0.5111555457115173
2020-09-14,0.5235710740089417
2020-09-21,0.5323461890220642
2020-09-28,0.542724072933197
2020-10-05,0.5513269305229187
2020-10-12,0.5599669218063354
2020-10-19,0.568031907081604
2020-10-26,0.5779466032981873
2020-11-02,0.5893884897232056
2020-11-09,0.609420120716095
2020-11-16,0.6320764422416687
2020-11-23,0.6589112877845764
2020-11-30,0.6820551156997681
2020-12-07,0.7024181485176086
2020-12-14,0.722269594669342
2020-12-21,0.7422322630882263
2020-12-28,0.7620572447776794
2021-01-04,0.7867653965950012
2021-01-11,0.8091571927070618
2021-01-18,0.8265886306762695
2021-01-25,0.8379189372062683
2021-02-01,0.8466842174530029
2021-02-08,0.8564857244491577
2021-02-15,0.8693044781684875
2021-02-22,0.8855160474777222
2021-03-01,0.8960967659950256
2021-03-08,0.9068055152893066
2021-03-15,0.9252508878707886
2021-03-22,0.9379330277442932
2021-03-29,0.9457865357398987
2021-04-05,0.9501559734344482
2021-04-12,0.9518110156059265
2021-04-19,0.9503657817840576
2021-04-26,0.9434916973114014
2021-05-03,0.9346893429756165
2021-05-10,0.9254372715950012
2021-05-17,0.909501314163208
2021-05-24,0.8858606219291687
2021-05-31,0.8585158586502075
2021-06-07,0.829719066619873
2021-06-14,0.8000437617301941
2021-06-21,0.7649415731430054
2021-06-28,0.7289127707481384
2021-07-05,0.6978437900543213
2021-07-12,0.6698035001754761
2021-07-19,0.6401740908622742
2021-07-26,0.6156501173973083
2021-08-02,0.5979078412055969
2021-08-09,0.58381587266922
2021-08-16,0.571466863155365
2021-08-23,0.5591369867324829
2021-08-30,0.5420506000518799
2021-09-06,0.5231653451919556
2021-09-13,0.4945263862609863
2021-09-20,0.4611097574234009
2021-09-27,0.4199415743350983
2021-10-04,0.3802485167980194
2021-10-11,0.347857266664505
2021-10-18,0.3247590065002441
2021-10-25,0.3054877817630768
2021-11-01,0.2896722555160522
2021-11-08,0.2765708565711975
2021-11-15,0.264931321144104
2021-11-22,0.2460240721702576
2021-11-29,0.2242095768451691
2021-12-06,0.1942012459039688
2021-12-13,0.1629926562309265
2021-12-20,0.1307791024446487
2021-12-27,0.1062070205807686
2022-01-03,0.0841650515794754
2022-01-10,0.0595417432487011
2022-01-17,0.03777775540947914
2022-01-24,0.008628484793007374
2022-01-31,-0.02105479873716831
2022-02-07,-0.04524945095181465
2022-02-14,-0.06612138450145721
2022-02-21,-0.0908079743385315
2022-02-28,-0.1173868253827095
2022-03-07,-0.1438390165567398
2022-03-14,-0.1705707162618637
2022-03-21,-0.1940287053585052
2022-03-28,-0.2097557485103607
2022-04-04,-0.2245001345872879
2022-04-11,-0.2417865842580795
2022-04-18,-0.2566799521446228
2022-04-25,-0.2721232771873474
2022-05-02,-0.2883197367191315
2022-05-09,-0.3082906007766724
2022-05-16,-0.3329884707927704
2022-05-23,-0.3598393499851227
2022-05-30,-0.3825510442256927
2022-06-06,-0.4050948321819305
2022-06-13,-0.4287075102329254
2022-06-20,-0.4587741494178772
2022-06-27,-0.4900501668453217
2022-07-04,-0.5195581316947937
2022-07-11,-0.5479998588562012
2022-07-18,-0.5746803879737854
2022-07-25,-0.5976121425628662
2022-08-01,-0.6199864745140076
2022-08-08,-0.6413905620574951
2022-08-15,-0.6625051498413086
2022-08-22,-0.685477614402771
2022-08-29,-0.7127236723899841
2022-09-05,-0.7421150803565979
2022-09-12,-0.7654805183410645
2022-09-19,-0.790201723575592
2022-09-26,-0.8091282844543457
2022-10-03,-0.832783043384552
2022-10-10,-0.8570299744606018
2022-10-17,-0.8819510340690613
2022-10-24,-0.9033714532852173
2022-10-31,-0.9204584360122681
2022-11-07,-0.9351274371147156
2022-11-14,-0.9466880559921265
2022-11-21,-0.9510682225227356
2022-11-28,-0.951176106929779
2022-12-05,-0.9462403059005737
2022-12-12,-0.9364532232284546
2022-12-19,-0.9210225939750671
2022-12-26,-0.8961284756660461
2023-01-02,-0.864201545715332
2023-01-09,-0.828852653503418
2023-01-16,-0.7845937013626099
2023-01-23,-0.7398569583892822
2023-01-30,-0.6924485564231873
2023-02-06,-0.6505985260009766
2023-02-13,-0.6205640435218811
2023-02-20,-0.595676600933075
2023-02-27,-0.5770518183708191
2023-03-06,-0.5660755038261414
2023-03-13,-0.5593680143356323
2023-03-20,-0.5513004660606384
2023-03-27,-0.5470443367958069
2023-04-03,-0.5394198298454285
2023-04-10,-0.5256770849227905
2023-04-17,-0.5073346495628357
2023-04-24,-0.4904384911060333
2023-05-01,-0.46980020403862
2023-05-08,-0.4454407393932343
2023-05-15,-0.4199265837669373
2023-05-22,-0.3963969945907593
2023-05-29,-0.373767226934433
2023-06-05,-0.3549815118312836
2023-06-12,-0.3369021713733673
2023-06-19,-0.3146734833717346
2023-06-26,-0.2915350198745728
2023-07-03,-0.2670612633228302
2023-07-10,-0.2458864599466324
2023-07-17,-0.2268619537353516
2023-07-24,-0.2127019613981247
2023-07-31,-0.2010596990585327
2023-08-07,-0.1895814538002014
2023-08-14,-0.1795551180839539
2023-08-21,-0.1731769442558289
2023-08-28,-0.1684647500514984
2023-09-04,-0.1649460196495056
2023-09-11,-0.1640234291553497
2023-09-18,-0.1600262224674225
2023-09-25,-0.1567264050245285
2023-10-02,-0.1513362377882004
2023-10-09,-0.1457878798246384
2023-10-16,-0.1418732851743698
2023-10-23,-0.1349558681249619
2023-10-30,-0.1227227970957756
2023-11-06,-0.1092564687132835
2023-11-13,-0.09409079700708389
2023-11-20,-0.08010058850049973
2023-11-27,-0.06834602355957031
2023-12-04,-0.05638760328292847
2023-12-11,-0.04131307080388069
2023-12-18,-0.03032563254237175
2023-12-25,-0.02023459412157536
2024-01-01,-0.01239624340087175
2024-01-08,-0.003897342598065734
2024-01-15,0.0001984108239412308
2024-01-22,0.004170680418610573
2024-01-29,0.01025575865060091
2024-02-05,0.01787404716014862
2024-02-12,0.03253858536481857
2024-02-19,0.05003903433680534
2024-02-26,0.06759383529424667
2024-03-04,0.09265720099210739
2024-03-11,0.1243540719151497
2024-03-18,0.1524764746427536
2024-03-25,0.178593322634697
2024-04-01,0.2036472707986832
2024-04-08,0.2254320532083511
2024-04-15,0.2391991764307022
2024-04-22,0.2532393038272858
2024-04-29,0.2619322240352631
2024-05-06,0.2838070690631866
2024-05-13,0.2966401278972626
2024-05-20,0.3163193464279175
2024-05-27,0.33866086602211
2024-06-03,0.3636194467544556
2024-06-10,0.3932948410511017
2024-06-17,0.4211725294589996
2024-06-24,0.4332572221755981
2024-07-01,0.440239429473877
2024-07-08,0.4402274191379547
2024-07-15,0.4458718001842499
2024-07-22,0.4579507112503052
2024-07-29,0.4683867990970612
2024-08-05,0.4680995643138885
2024-08-12,0.4634357094764709
2024-08-19,0.4610686004161835
2024-08-26,0.4649858474731445
2024-09-02,0.4630582332611084
2024-09-09,0.4574582874774933
2024-09-16,0.4528715312480927
2024-09-23,0.4531818628311157
2024-09-30,0.4577852189540863
2024-10-07,0.4624601900577545
2024-10-14,0.4666055142879486
2024-10-21,0.4769414961338043
2024-10-28,0.4838529527187347
2024-11-04,0.4894328415393829
2024-11-11,0.5007900595664978
2024-11-18,0.5180327296257019
2024-11-25,0.5399569869041443
2024-12-02,0.5623756647109985
2024-12-09,0.5853249430656433
2024-12-16,0.6082763671875
2024-12-23,0.623753547668457
2024-12-30,0.6320773363113403
2025-01-06,0.6392703652381897
2025-01-13,0.643413782119751
2025-01-20,0.6506919860839844
2025-01-27,0.6595891118049622
